MET1,MET2,MET3,MET4,MET5,MET6,IND_SR,COMM_VAL,ITQ,COLL_SHARE
0,0,0,0,1,0,53.79342264377611,72.61604684948297,1,0.25222091163510196
0,0,0,0,0,1,52.496223684516586,97.24905692946527,0,0.2991242511855104
0,1,0,0,0,0,52.99611521678488,48.68445568012034,1,0.15853592516383339
0,0,0,0,1,0,45.275543711541,25.312288060146336,1,0.16792168033846047
1,0,0,0,0,0,51.630783141594485,159.00330548284052,0,0.3360602479983055
0,0,0,0,1,0,55.49424825673505,61.246273893658184,1,0.24509267633284354
0,0,0,0,1,0,56.55590716609026,82.67252227580204,1,0.26824231762547174
0,0,0,1,0,0,52.56395624984459,42.30252587611688,0,0.1928011882556644
0,0,1,0,0,0,62.70172746653556,163.2551222282438,0,0.24986492407768177
0,0,1,0,0,0,51.414619694437405,174.20818655427,0,0.20829543516465934
0,0,0,0,0,1,54.638028605282926,47.13893980986054,1,0.1852747973981658
0,0,0,0,1,0,31.35819168658887,151.56661583124557,1,0.1608172775336851
1,0,0,0,0,0,47.50080572404612,82.11850911325021,1,0.25792835250083246
1,0,0,0,0,0,54.0770115957825,79.500654649181,1,0.1525045949314171
0,1,0,0,0,0,66.9314763324772,70.92403800224174,1,0.13458098734097115
0,0,1,0,0,0,47.67905030389167,126.30177660741823,1,0.11758197413222213
0,0,0,0,1,0,66.97874007204918,31.52007617636017,1,0.1936321743101152
0,1,0,0,0,0,46.582481076430746,56.1577171865682,0,0.19317136881635233
0,1,0,0,0,0,61.46276243882056,167.27776257998806,0,0.12552284821377713
0,0,0,0,1,0,50.59036578498118,91.819668927289,1,0.17151990471877626
0,0,0,0,1,0,66.90415803668067,140.23128768573582,0,0.2390768237712372
0,0,1,0,0,0,55.95920128053741,118.80717073182115,0,0.1969870984563254
0,0,1,0,0,0,46.017794669584426,95.74739750142885,1,0.15643130504135191
0,0,1,0,0,0,62.420461981169794,82.89926166448167,0,0.15437041111791985
0,0,1,0,0,0,64.24544563719657,62.36896868791298,1,0.07746761198498284
1,0,0,0,0,0,68.47130857596242,122.34236362297325,0,0.2796136385533089
0,1,0,0,0,0,59.73323416697358,54.27107789856449,0,0.09780439066020193
1,0,0,0,0,0,65.62808971550902,81.42761471612799,0,0.12061582724370204
0,0,0,0,0,1,62.2393333139865,104.99997223007281,0,0.3837021496586099
0,1,0,0,0,0,50.24455427925736,39.69304992235471,1,0.137487237385434
0,0,1,0,0,0,44.782504473971535,80.76365159785537,1,0.22431408036737704
0,0,0,0,1,0,51.207909709021656,60.89837601348049,0,0.38058590109445056
0,0,0,0,1,0,40.969016065901364,70.44419433240972,1,0.14925063379632836
0,0,0,0,0,1,67.56343515171118,98.05321277458907,0,0.2740591058745023
0,0,1,0,0,0,51.93964085408881,91.86685115457094,0,0.191973298147056
0,0,1,0,0,0,41.58560858022708,57.38582259556635,1,0.21296260315331753
0,0,1,0,0,0,57.17303065515226,102.46991542160652,0,0.16966376860708163
0,0,0,0,1,0,45.594376693072604,139.74115126760347,0,0.4066075189064422
0,0,0,1,0,0,45.04914090724916,96.19716886263546,1,0.21044011472302485
0,0,1,0,0,0,71.47010117608848,81.16877695704082,0,0.2703603005053902
0,1,0,0,0,0,72.13611545907432,78.82323835248171,1,0.1832394365534664
0,1,0,0,0,0,58.55972818746109,136.7044020486153,0,0.17906086157178755
0,0,1,0,0,0,36.341731990721534,55.56946946421755,1,0.17455190336105308
0,0,1,0,0,0,25.81859877312509,128.477495854315,1,0.25695986141894583
0,0,0,0,1,0,48.348175701717935,56.17944280745188,1,0.2326526934992179
0,0,0,0,0,1,49.75366237174578,166.5273117680182,1,0.2384529250674091
0,0,1,0,0,0,37.06052829955798,127.30592983731589,1,0.2116366450467184
0,1,0,0,0,0,74.51064626102412,122.09062948710854,0,0.15329319247913067
0,0,1,0,0,0,62.17554070974678,67.58070024343057,0,0.2310340074440664
0,0,0,0,1,0,45.961465400175584,93.45373329556728,1,0.22707234230208898
1,0,0,0,0,0,35.494846885187,101.31186090928567,1,0.25252578742436166
0,0,0,1,0,0,45.00915580963633,46.18023095963178,1,0.2042327395642942
1,0,0,0,0,0,57.70644809644677,98.65961940508045,0,0.12196209280593286
0,0,0,0,0,1,63.63316719458626,61.56939035962692,0,0.39081715219595203
0,0,0,1,0,0,47.80405227696224,178.11219249462636,0,0.2646156859616246
0,0,0,0,1,0,59.66024090646099,91.36041058229368,1,0.21387395991456512
0,1,0,0,0,0,60.802967022687206,142.46904051326524,0,0.2961001595107078
0,1,0,0,0,0,61.19283916161541,46.86951852314579,1,0.11223254992884359
0,0,0,0,1,0,42.13738058887617,70.10375370184163,1,0.16921236138813145
0,0,0,1,0,0,49.52516795377198,69.69922916747136,1,0.1361735527469382
0,0,0,1,0,0,38.86915814669622,287.9609731185615,0,0.294843584280625
1,0,0,0,0,0,41.90386110739111,115.15031878163026,1,0.22198418480092907
0,0,0,1,0,0,60.29632860082583,72.51375343525763,0,0.2787418186313906
0,0,0,0,0,1,59.58869302218201,155.53355987553377,0,0.27764229446911437
0,0,0,0,1,0,40.15505356160912,91.65971351602536,0,0.3724405156406259
0,0,0,0,1,0,48.41255469851039,112.83919225619293,0,0.39572966186322683
0,0,0,0,1,0,49.91684161779551,147.10347851848454,0,0.28992492499013817
0,0,0,0,1,0,36.804825080666284,151.04364004036242,1,0.3027324571774418
0,0,0,0,1,0,74.82433848752369,80.87068396604357,1,0.14314441171871617
1,0,0,0,0,0,69.37261937174306,100.05034357556026,0,0.13820707094567117
0,1,0,0,0,0,50.94480228338026,99.40488099427954,0,0.2127664333401673
0,0,0,0,0,1,43.21436879135659,105.75248426452688,1,0.1882263813508556
0,0,0,0,1,0,47.531428856208024,29.083337151462207,1,0.14630152613081435
0,0,0,0,0,1,71.52334486751505,137.64128903116546,0,0.42093154153395956
0,0,0,0,1,0,50.533339278317804,158.0300595525641,0,0.4248326864149739
0,0,0,0,1,0,41.823758639970414,106.08955749037878,1,0.18151547579647828
0,0,1,0,0,0,48.22153349715587,116.53281534832941,1,0.18411819319788553
0,0,0,0,0,1,11.678285398256449,80.34122938573265,1,0.30980014742487333
0,0,1,0,0,0,81.2929421791442,36.87992710130585,0,0.08579164267086556
0,0,0,0,1,0,59.70303550826244,80.93505886416145,1,0.24848305597798528
0,0,0,0,1,0,56.00875848811436,86.3623515111562,1,0.155861334468276
0,0,0,1,0,0,52.92427328639295,76.36514055331784,0,0.19311645863110574
0,0,0,0,1,0,58.695306633942515,35.01822440654763,1,0.20285910301780877
0,0,0,0,1,0,17.486840244267785,87.07265287116344,1,0.3168275529737415
0,1,0,0,0,0,45.75037391272546,174.54230420053077,0,0.26951626116837496
0,0,0,0,1,0,46.81538898409522,62.66421001467096,1,0.25755497437331476
0,0,1,0,0,0,48.25722835598856,199.36516069313706,0,0.20606122953379416
0,0,1,0,0,0,50.99128854050702,111.15867619554693,0,0.3353393230370392
0,0,1,0,0,0,46.872100463695844,236.68663282333628,0,0.29199520992351247
0,0,1,0,0,0,50.94184832092837,90.8837313948687,1,0.08692090635745436
0,0,0,0,1,0,34.09210355181928,43.83914418478885,1,0.1734343853786428
0,1,0,0,0,0,57.827442197150724,132.6292817639306,0,0.18852508425288309
0,0,0,0,1,0,35.273528991136985,159.05630861827015,0,0.35137648363687735
0,0,0,0,1,0,29.293416541111355,127.66549295776379,1,0.16632144824244707
0,0,0,0,1,0,61.49652713417226,76.80713368164069,1,0.20595288854342653
0,1,0,0,0,0,60.45586198199293,36.29916192214742,1,0.05904508441475876
1,0,0,0,0,0,56.4685423055046,71.46604426119787,1,0.1508479727629361
0,0,1,0,0,0,71.63167219378369,104.2057356302625,0,0.24179462927084455
0,0,1,0,0,0,80.29279798751446,83.315148037634,0,0.22022287125594237
0,0,0,1,0,0,58.48423019099352,118.69071131025548,0,0.2415592684251103
0,0,0,0,1,0,43.218725022622365,131.1676067228176,1,0.22867313644595988
0,0,0,0,0,1,57.0676382158656,198.47741665713014,0,0.3847070981195103
0,0,0,0,0,1,38.540355472717444,157.204122796288,0,0.4451379948981086
0,0,1,0,0,0,49.34371745330633,176.01696130368526,0,0.32011636522917203
1,0,0,0,0,0,41.900228055667455,67.78371928097417,0,0.25366122544678027
1,0,0,0,0,0,46.487269938043426,43.592339830597304,1,0.0943119320730565
0,0,0,1,0,0,50.30761555889901,78.90579419544416,1,0.08677207962872524
0,0,1,0,0,0,53.846292089450124,49.97662400787519,1,0.05171576530291435
0,0,1,0,0,0,57.319698203129946,126.77613950082534,0,0.22125688389697643
0,0,0,0,0,1,71.57749612316174,122.06614169654439,0,0.2870293180219589
1,0,0,0,0,0,56.216111915692615,72.69912894459759,1,0.11265866296137331
1,0,0,0,0,0,61.871845816820205,21.467037307504462,1,0.07086737687568878
0,1,0,0,0,0,78.98245967232111,91.48444878536871,0,0.1024330703045674
0,1,0,0,0,0,59.262161459271624,144.66765899760065,0,0.26049363772304934
1,0,0,0,0,0,55.75497948781257,155.99268477019774,1,0.1628231438716059
1,0,0,0,0,0,45.59505055945955,143.04085986845138,0,0.2660486107171194
0,1,0,0,0,0,61.34786926120197,102.2588259451638,1,0.10411592687011521
0,0,0,0,1,0,51.082198239167674,106.59657136857801,1,0.21664960716807322
0,0,1,0,0,0,52.83560942056453,63.76600544660007,0,0.1934724081578421
1,0,0,0,0,0,45.51097900783905,84.27175695276246,1,0.18580963931844274
0,0,1,0,0,0,57.257230402318186,73.07268857767768,1,0.20145858169227973
0,0,1,0,0,0,68.4818139204782,95.94127092245444,0,0.1240675417379124
1,0,0,0,0,0,63.856534282444635,129.45377902063876,0,0.1915004257180156
0,0,0,0,0,1,41.61899627735608,153.3582931512404,1,0.36980753087099255
1,0,0,0,0,0,61.59475876357335,156.64043794289336,0,0.30940809256350704
0,0,0,1,0,0,46.75029226871981,90.66110504928902,1,0.09392262483328133
0,0,0,0,1,0,46.772368228003096,67.36422759981758,0,0.22434390155050146
0,0,1,0,0,0,45.14433902989727,71.7439169373407,0,0.2728134657249733
0,0,1,0,0,0,50.782376979048735,180.4911211630225,1,0.2674490219037301
0,0,1,0,0,0,54.99842241345023,67.04386317895187,1,0.1435881207125828
0,0,0,0,1,0,53.94833658499098,139.82364156801128,1,0.20106904170604412
0,1,0,0,0,0,58.31168192034859,59.048728815580446,1,0.06547619880727455
0,0,0,0,0,1,33.23814782755562,98.70383202375427,1,0.2469287859412433
0,0,1,0,0,0,50.742299962826024,115.62937154857714,0,0.2331218708538745
1,0,0,0,0,0,52.86502230466203,79.44697674131616,0,0.19353744823215546
0,0,0,0,1,0,51.87452964839609,52.642733633865305,1,0.20540998669375318
0,0,0,0,1,0,38.45471134008043,116.11634504631012,1,0.3141328361417498
0,0,0,0,1,0,43.556352920757476,54.240589358107265,1,0.19671442009041123
0,0,1,0,0,0,82.84751551174249,44.80195638851206,0,0.1865675270677298
0,0,0,1,0,0,63.94147841288239,180.1518251848653,0,0.3360092577115106
0,1,0,0,0,0,22.939389494003567,119.0151718649531,1,0.15705954188180443
1,0,0,0,0,0,51.38077854606634,71.46841911980046,0,0.16484557092690905
0,0,1,0,0,0,71.19370968126861,149.36432112661808,0,0.19550002186486048
0,0,0,0,1,0,35.63565596982354,139.03245574383246,1,0.23852737252117917
0,1,0,0,0,0,35.25115337779066,60.033002936605484,1,0.17490787057152013
0,1,0,0,0,0,61.20066545218845,144.81225389442622,0,0.15868407026435538
0,0,1,0,0,0,62.70193628618712,91.09426525888296,0,0.14266118555312454
0,1,0,0,0,0,48.5732842617891,62.71275262198718,1,0.07513719300072735
0,0,0,0,1,0,29.796078364072475,54.81198447808559,1,0.2748140504362899
0,0,0,0,1,0,44.217501868302115,54.40903797784779,1,0.2530936048053113
0,0,1,0,0,0,68.48745087376084,108.30856888456677,0,0.28377210997864527
0,0,0,0,1,0,38.745990249388484,202.55266075109404,1,0.24643144620809268
0,0,0,0,0,1,46.347465316183126,59.94764917442196,1,0.1488203970833936
0,0,1,0,0,0,49.06755128573184,193.61313583500018,0,0.36692116291865706
0,1,0,0,0,0,68.84533427740887,114.11644866830208,0,0.13170963877733524
0,1,0,0,0,0,47.700783981782386,135.62089971147006,1,0.12329445416186799
0,0,0,0,0,1,55.111441989724284,127.26834354667291,1,0.23520217951319816
1,0,0,0,0,0,79.11676867971667,86.15734664155602,0,0.09916288708513381
0,0,1,0,0,0,63.26211121444709,164.152031412503,0,0.2831306605487336
0,0,0,1,0,0,31.663744153504886,84.71826226352432,1,0.31459945100996994
0,0,0,0,0,1,47.68066099549897,102.21786098512652,1,0.27086412941653193
1,0,0,0,0,0,60.76013677624207,102.72622933912092,1,0.1608367967400914
0,1,0,0,0,0,54.42627327555522,169.6660301099091,1,0.11077271802680864
0,0,0,0,1,0,56.984579578449036,53.98707610227393,1,0.2561494343296057
1,0,0,0,0,0,55.72481345560857,77.5871346723519,0,0.23323854364860758
0,0,0,1,0,0,63.31455451201853,97.61615236219357,0,0.23346787243356718
0,0,0,0,1,0,70.34728146549442,227.2613203602711,1,0.2214594834950354
1,0,0,0,0,0,65.09899470319701,72.67133378889801,1,0.1849993015661206
0,0,1,0,0,0,48.3623976790905,64.39626943415189,1,0.19803525744568024
0,0,1,0,0,0,61.8949602356751,42.854783558193006,1,0.12148700942921012
0,0,1,0,0,0,46.562541642491745,83.24353388849681,0,0.14618318081614584
0,0,1,0,0,0,52.692286681407495,193.7146745272993,0,0.31008566008325655
0,0,1,0,0,0,53.936585456662876,93.29052071393525,0,0.1545366477639229
1,0,0,0,0,0,52.47578974266871,89.992938097369,1,0.24184338980666534
0,1,0,0,0,0,65.82803194142504,128.07723070676553,0,0.21262681448439752
1,0,0,0,0,0,59.03726801397531,79.63844047406363,0,0.1603893684637959
1,0,0,0,0,0,69.74737360349813,191.25238356176206,0,0.24492527031254743
0,0,0,1,0,0,44.5409708937946,150.889453707514,1,0.2082615012239495
0,0,0,0,1,0,37.034401543622,102.58971820232874,1,0.2465943409680736
0,0,0,0,1,0,27.15922771280748,95.80028358542556,1,0.27078670724464576
0,0,1,0,0,0,64.97349556885335,43.87396226403709,0,0.15338603610138368
0,0,0,0,0,1,71.92989844708897,119.0577714653557,0,0.28730611456200594
0,0,0,0,1,0,31.38042681182641,108.37965357221479,1,0.16147733960704505
0,0,0,0,0,1,54.527481539492726,116.97374373154703,1,0.2651868288893974
0,0,0,0,0,1,65.38768036637254,221.51917479112979,0,0.41255360021615906
0,0,0,0,0,1,40.3110852382125,96.80017283226084,0,0.3640286001396776
0,0,0,0,0,1,41.842126328096654,207.06799062230263,0,0.4863556563955928
0,0,1,0,0,0,54.96231840206933,216.1735284171353,0,0.3422380092042489
0,0,1,0,0,0,45.29300940368537,148.55728462507358,0,0.30262016511129713
0,0,0,1,0,0,51.34758698615306,190.41633978463832,0,0.2549456303591065
0,0,1,0,0,0,55.104783753885755,50.824660849999866,0,0.22050891690486596
0,0,1,0,0,0,63.26244083891339,169.02257127070155,0,0.16464574547251903
1,0,0,0,0,0,55.56075041143681,89.92370346572986,1,0.12268399895509571
0,1,0,0,0,0,73.04018711942008,61.933102599839856,0,0.1994612491664945
0,1,0,0,0,0,42.64380312839047,64.0871577504541,0,0.14091832354560935
1,0,0,0,0,0,48.86750683286479,44.39944552050784,1,0.0960053764471204
0,0,1,0,0,0,50.35275374783165,45.41666757320927,1,0.23989516518267207
0,0,0,1,0,0,50.81955384048946,51.880218747670845,0,0.25108428326467513
1,0,0,0,0,0,60.18321936967248,66.45416782084882,1,0.186040491012558
0,0,0,1,0,0,49.251969555323996,87.7230391109668,1,0.17477945196031727
0,0,1,0,0,0,45.27498319484508,133.50237855375747,1,0.1910382292604589
0,0,0,0,1,0,50.409468910226515,151.9670589300212,0,0.3564018098270877
0,0,1,0,0,0,46.48713225575387,69.39587784844083,1,0.20331006855501127
0,0,0,0,0,1,63.215140598813036,51.45020660479946,1,0.14371314910155672
0,1,0,0,0,0,68.08646824204014,72.31082926447006,0,0.25079270583242635
0,0,1,0,0,0,55.16380839298004,50.37651449120408,1,0.1897523481931011
0,0,0,0,0,1,61.29801970956555,108.57363714783553,1,0.20111409701591842
1,0,0,0,0,0,64.0346597019328,31.57703096144861,1,0.11678137261274024
1,0,0,0,0,0,52.46797244034579,78.41706887935176,0,0.17134903035125698
0,0,1,0,0,0,49.295910913834284,167.0497928884813,0,0.2948839277897458
0,0,1,0,0,0,48.94843381104829,91.45716203933071,1,0.17314338763915899
0,1,0,0,0,0,38.909410038020155,153.72101961841636,0,0.2566296917170567
1,0,0,0,0,0,39.83448622666971,99.94292089752024,1,0.22533068599341036
0,0,0,0,0,1,49.691257553588905,161.3826765640917,0,0.3911279447774614
0,0,0,0,1,0,58.50778542008441,27.671310665175504,1,0.1492515073643147
1,0,0,0,0,0,40.015087845571976,108.75470429976053,0,0.326270640042042
0,0,1,0,0,0,54.35619123654012,59.012112144694996,1,0.09811629036833452
0,0,1,0,0,0,64.4652979680759,30.859341163533557,0,0.14112743234059255
0,0,1,0,0,0,53.975810272400906,57.223562125487206,0,0.20660603470837774
0,0,0,0,0,1,75.92374576931846,96.43821999067244,0,0.31459735542491946
0,0,0,0,1,0,59.143841560422686,125.63083096841649,0,0.3829678356078081
0,0,0,0,0,1,51.97894212525307,48.34568304210152,1,0.29927499030314364
1,0,0,0,0,0,48.14809815331236,35.617810544676345,1,0.18738218313301142
0,0,1,0,0,0,53.959774270450986,125.95910656774242,0,0.2740696826634763
0,1,0,0,0,0,28.46154821310421,110.393740227505,1,0.17651586187257404
0,0,1,0,0,0,57.060476020517534,44.33597533164979,1,0.11790048637172643
1,0,0,0,0,0,46.42387200176136,76.65258530756708,1,0.08738416121364637
0,0,0,0,1,0,50.318585194545626,153.38569299975978,1,0.2104884309756092
0,1,0,0,0,0,55.41588693282535,123.43125106342066,1,0.12008080531011471
0,0,0,1,0,0,51.70933887856325,103.55089788040033,1,0.21031452064756073
0,0,1,0,0,0,45.6065406730933,113.49498550216978,1,0.1821927470348042
0,0,0,0,0,1,75.769312503701,74.29332415225821,0,0.3130172554037215
0,0,0,0,1,0,60.405910366302365,150.82941320230765,1,0.19498816521760903
0,0,0,0,0,1,59.2238237480914,107.63481909227164,0,0.40634396847352383
0,0,0,1,0,0,50.27469002052567,142.43777119119716,1,0.17274620853118694
0,0,0,1,0,0,36.077146137698826,122.53203309350211,1,0.2861155535293432
0,0,0,0,1,0,57.645976772443916,52.92542340023246,0,0.32595934794827663
0,0,0,0,1,0,61.45906065868185,83.84458633057505,0,0.3076012030612926
0,0,0,1,0,0,63.340699646184795,95.79418087024655,1,0.25432310066817837
0,0,0,0,1,0,53.398877643916634,136.64724879206767,1,0.16158516138058088
0,0,1,0,0,0,75.369342554459,62.33906375793775,0,0.11122116264015591
0,0,0,1,0,0,50.82965689869747,107.45230845523565,1,0.16901603036492224
0,0,1,0,0,0,38.910589944867205,122.45988356280645,1,0.17618202462525603
1,0,0,0,0,0,47.8410333095651,46.288687194837934,1,0.1196987873924838
0,0,1,0,0,0,50.058112242382116,168.69305044547005,0,0.2858608923655762
0,0,0,0,1,0,61.87969281590065,131.9291520940282,0,0.28354010863151025
0,0,0,0,0,1,55.44913382549906,82.94537647859377,1,0.29990503246854955
0,1,0,0,0,0,55.14088947786041,49.39752589414227,1,0.10765218831010223
0,0,1,0,0,0,43.26516013338587,130.03900250458724,1,0.18359155416064588
0,0,1,0,0,0,65.80279712480437,82.64841147500023,0,0.21281290177965534
0,1,0,0,0,0,47.751016554913186,47.09624873397276,1,0.10907178783929206
0,0,1,0,0,0,46.24195931223644,88.12663719747957,1,0.14984020704871334
0,1,0,0,0,0,45.522122907275765,141.64255695392117,0,0.18194137589924628
0,1,0,0,0,0,70.12825765400075,209.78614870389683,0,0.14196249481083503
0,0,0,0,1,0,59.29159712925242,103.93337328416078,1,0.23365591666225669
0,0,1,0,0,0,43.482580616303345,42.40577913260833,1,0.20819633166571266
0,0,0,0,1,0,56.72280022972428,118.2004401178289,1,0.21716319628794392
0,1,0,0,0,0,67.82975991556607,103.37714533241757,0,0.2151311954318285
0,0,1,0,0,0,52.36071705116363,53.52736940295435,1,0.17366165149807075
0,0,1,0,0,0,60.561440020818814,54.7962148878161,0,0.24263568554525786
1,0,0,0,0,0,84.35671067361852,77.44498644325148,0,0.21689277851222202
1,0,0,0,0,0,65.60419102528449,33.7627251042856,1,0.09385200612394205
0,0,0,1,0,0,65.48796153895789,113.95742238238645,0,0.34317088014369895
0,1,0,0,0,0,54.541991309757854,70.46081345193774,1,0.12425812136439654
0,0,0,0,1,0,52.56514133268866,69.47662272446615,0,0.2502730783347624
0,0,1,0,0,0,43.922750414842845,59.77402348125104,1,0.14269115033390206
0,0,0,0,1,0,48.14859301310482,64.49098659443622,1,0.22564828549743435
1,0,0,0,0,0,62.278891717085216,61.067202261125374,0,0.13778083980499437
0,0,0,0,1,0,45.99260363995693,108.26935690791181,0,0.34173140880058994
0,0,1,0,0,0,19.898587570506198,95.98245014138621,1,0.19780640490709825
0,0,0,1,0,0,54.495126740472934,87.55833732484056,0,0.25488222582996517
0,0,1,0,0,0,37.840422138301335,135.51766273193925,1,0.23485270021525406
0,0,0,1,0,0,43.9578211846902,84.31096044385505,1,0.19940155592067296
0,0,1,0,0,0,69.17735884263772,86.85960373445072,0,0.11434904135818766
0,0,0,0,1,0,28.989833084226348,264.2373212083027,0,0.48518567649245803
1,0,0,0,0,0,62.11594303105896,103.48907614312652,1,0.11721649215930835
0,0,1,0,0,0,39.43589250707728,45.034651086007464,1,0.14004067780704926
1,0,0,0,0,0,42.98604407986155,89.37861929696213,1,0.1563477046509804
1,0,0,0,0,0,53.044449195858554,90.32130215084642,0,0.22048339485724042
0,0,1,0,0,0,47.89759082385005,52.763221080155276,1,0.23403065352357813
1,0,0,0,0,0,70.0001212226647,174.94416899758394,0,0.23990952472146673
1,0,0,0,0,0,43.389563990730615,105.124340038578,0,0.2692436535061578
0,0,0,0,1,0,50.769757393635615,122.07281333632619,1,0.25800396243549273
1,0,0,0,0,0,52.876747960355964,75.22723001587777,1,0.14897134156576322
0,0,1,0,0,0,33.00699279487829,137.19941425540637,1,0.12299113198753457
0,0,0,0,1,0,51.243593827960176,99.61403413388283,0,0.25713595681652246
1,0,0,0,0,0,34.6711716433093,96.76426003929268,1,0.20878424508555543
0,0,0,1,0,0,51.694797224747255,103.48773832721123,1,0.27061396402441634
0,0,1,0,0,0,34.66700220833122,119.5576919543621,0,0.2950840740275549
0,0,0,1,0,0,43.72276034386174,160.83114252593379,1,0.20605636133560834
0,0,0,0,1,0,49.3625175359282,70.43709603507325,1,0.2632432970533759
0,0,0,0,1,0,57.25642781449506,70.91301731226362,1,0.23381513093189737
1,0,0,0,0,0,52.04308430492526,121.29413198094184,1,0.1832217541783579
0,0,0,1,0,0,60.31040278435504,103.60027113422345,1,0.1975981380941732
0,0,1,0,0,0,47.47915826650517,183.55796613252866,1,0.2807532400481984
0,0,0,0,1,0,71.4567814494545,173.96310803348177,0,0.2564507052623606
0,0,0,0,1,0,72.21317702102019,104.60315966199168,0,0.1972039624228088
0,0,1,0,0,0,43.900566559542895,134.3300495406839,1,0.2342227193633537
0,0,0,1,0,0,55.54889254519249,77.43889869869108,0,0.3121912118676267
0,0,0,0,0,1,54.593404961142674,97.26913930631477,1,0.21576781977667248
0,0,0,1,0,0,50.616892023115554,175.1743520675046,0,0.3707108401311969
0,0,0,1,0,0,41.00989978704473,125.02001474599226,1,0.2647499988624846
0,0,1,0,0,0,55.56104005075972,79.60657785511532,1,0.10318291988892768
1,0,0,0,0,0,44.14341862289578,99.97809088673996,0,0.2581284811158515
0,0,0,0,0,1,41.802908513383635,152.9203641367116,1,0.24841597143293365
0,0,0,0,1,0,49.12317852332193,131.50380595916198,0,0.29247250835642896
0,0,0,1,0,0,55.27548182507698,64.60424740920162,1,0.2578450406776463
0,0,0,0,1,0,68.96943644804118,106.99664095723327,1,0.21179741355378925
1,0,0,0,0,0,62.39765873178216,45.39601738252992,0,0.20401950059109142
0,0,0,0,0,1,48.814990042701304,197.68473139936515,0,0.3525761720235034
0,0,1,0,0,0,55.438189345501165,130.8647947299693,0,0.23121073301929299
0,1,0,0,0,0,39.98319243076451,98.43018147572747,1,0.1703887836324607
0,0,0,0,1,0,65.68528834650445,128.20250070238495,1,0.24322683529520148
0,0,1,0,0,0,60.605204361821116,137.6675041484899,0,0.3253104365289658
